Player_ID,Player_Name,Gender,Age,Country,Team,Position,Sport_Type,Match_ID,Tournament,Match_Date,Opponent_Team,Venue,City,Score,Assists,Goals,Wickets,Minutes_Played,Rating,Match_Fee,Bonus,Sponsorship_Amount,Ticket_Sales,Fan_ID,Ticket_Type,Payment_Mode,Feedback_Score,Coach_Name,Win_Status,Weather
P9690,Sara,,27,Brazil,Team E,Forward,Basketball,M78893,League,2021-01-01,Team C,Stadium 1,Delhi,80,4.0,0,3,35.0,2.75,2295.07,1675.14,8768.24,8565.68,F73670,VVIP,online,3,Anderson,Win,Rainy
P8755,Sara,,35,USA,Team A,Defender,Basketball,M81867,Friendly,2021-01-01,Team B,Court 4,Berlin,51,6.0,2,2,73.0,6.94,748.91,183.59,4047.68,4033.72,F68308,Regular,Online,2,Lee,Lose,
P9328,John,Female,21,Germany,Team C,Goalkeeper,Cricket,M41358,League,2021-01-01,Team A,Ground 3,Sydney,131,9.0,2,4,82.0,3.85,1214.21,1810.42,1688.77,4113.18,F49537,Regular,cash,2,Rahul,Win,Sunny
P7544,John,Male,44,Germany,Team D,Defender,Football,M77008,World Cup,2021-01-02,Team C,Stadium 1,Berlin,46,1.0,0,2,25.0,9.14,1534.13,163.05,3262.83,7510.98,F49879,Regular,online,4,Lee,Draw,Rainy
P3007,Amit,Male,40,USA,Team E,Batsman,Basketball,M54131,Friendly,2021-01-02,Team C,Court 4,Berlin,71,0.0,4,3,81.0,9.95,4116.32,1963.59,3272.36,4651.89,F19426,VIP,Online,5,Rahul,Win,Windy
P7850,Maria,Male,25,India,Team E,Defender,Basketball,M98901,World Cup,2021-01-02,Team D,Court 4,Berlin,113,8.0,1,4,61.0,6.06,1210.45,306.32,4064.09,7497.17,F30451,Regular,upi,5,Smith,,Cloudy
P6761,Carlos,Female,39,USA,Team D,Forward,Football,M35394,League,2021-01-02,Team D,Stadium 1,Berlin,105,7.0,3,0,17.0,2.42,967.79,1670.74,2359.3,6762.65,F74615,Regular,online,5,Brown,Draw,Rainy
P4437,Priya,Female,24,Brazil,Team D,Batsman,Football,M56647,World Cup,2021-01-02,Team A,Ground 3,Berlin,35,5.0,3,2,5.0,6.09,3891.42,582.84,6353.99,7994.77,F17058,VVIP,online,4,Lee,Draw,Rainy
P9227,David,,23,UK,Team D,Defender,Tennis,M47130,Friendly,2021-01-03,Team A,Ground 3,New York,58,2.0,2,1,38.0,4.03,4791.85,1592.56,7396.58,2677.06,F55573,Regular,online,4,Smith,Lose,Windy
P7045,Carlos,Other,16,Brazil,Team D,Goalkeeper,Basketball,M63427,League,2021-01-03,Team A,Ground 3,London,1,6.0,4,4,47.0,4.21,2160.96,408.08,9175.86,8665.28,F65931,VVIP,online,2,Patel,Draw,Cloudy
P8054,David,Other,38,brazil,Team E,Forward,Football,M34152,World Cup,2021-01-04,Team D,Court 4,Delhi,36,1.0,4,2,92.0,2.85,3376.32,910.63,4225.45,5359.27,F45518,VIP,cash,5,Brown,Draw,Rainy
P6826,Maria,Male,15,South Africa,Team B,Bowler,Cricket,M72003,World Cup,2021-01-04,Team E,Arena 2,Sydney,107,,1,0,15.0,5.49,1506.73,983.51,5110.43,365.56,F59049,Regular,cash,1,Patel,Win,Cloudy
P5821,Sara,Male,36,South Africa,Team B,Goalkeeper,Basketball,M87338,World Cup,2021-01-04,Team C,Stadium 1,Sydney,145,6.0,2,2,27.0,1.41,2586.44,843.11,4072.56,3343.17,F82175,Regular,Online,2,Smith,Draw,Cloudy
P4315,David,Other,31,Germany,Team A,Defender,Football,M83549,World Cup,2021-01-04,Team C,Ground 3,Berlin,112,3.0,4,3,28.0,3.84,4760.49,1745.67,7525.3,391.18,F32278,VVIP,online,3,Lee,,Cloudy
P8532,Sara,Male,39,India,Team E,Batsman,Tennis,M47801,Championship,2021-01-05,Team C,Stadium 1,Berlin,99,6.0,0,4,87.0,3.13,4535.28,1207.13,5264.84,4438.05,F30137,VIP,online,4,Anderson,,Sunny
