Player_ID,Player_Name,Gender,Age,Country,Team,Position,Sport_Type,Match_ID,Tournament,Match_Date,Opponent_Team,Venue,City,Score,Assists,Goals,Wickets,Minutes_Played,Rating,Match_Fee,Bonus,Sponsorship_Amount,Ticket_Sales,Fan_ID,Ticket_Type,Payment_Mode,Feedback_Score,Coach_Name,Win_Status,Weather
P2824,Mike,Male,21,UK,Team E,Forward,Cricket,M65327,League,2023-05-05,Team E,Court 4,Sydney,17,0.0,4,4,61.0,5.05,3854.64,29.04,5791.25,3413.96,F83977,Regular,Credit Card,5,Patel,Win,Sunny
P1409,Maria,Female,34,Germany,Team D,Goalkeeper,Football,M93279,World Cup,2023-07-28,Team A,Court 4,Sydney,56,6.0,4,1,95.0,4.46,1436.44,1151.1,6164.19,9388.07,F51266,Regular,Cash,1,Anderson,Draw,Sunny
P5506,David,Male,43,South Africa,Team D,Goalkeeper,Cricket,M93088,League,2023-02-24,Team B,Ground 3,New York,92,4.0,4,4,7.0,7.97,561.79,1483.98,4513.75,4737.38,F74976,VVIP,upi,4,Smith,WIN,
P5012,Sara,MALE,29,UK,Team B,Bowler,Basketball,M84016,Championship,2023-06-24,Team A,Arena 2,London,18,8.0,4,0,95.0,9.27,3065.07,514.01,8228.97,9372.68,F36267,,UPI,5,Patel,Win,
P4657,Liu,Other,25,Germany,Team C,Forward,Basketball,M55549,World Cup,2023-04-24,Team E,Court 4,Delhi,127,1.0,0,2,113.0,1.91,4159.6,28.75,9181.16,2383.16,F24847,VVIP,Credit Card,3,Brown,Win,Windy
P3286,Priya,Male,22,UK,Team A,Goalkeeper,Tennis,M76176,Friendly,2023-11-16,Team B,Stadium 1,New York,96,0.0,1,3,3.0,8.41,2450.5,1487.27,3276.24,8981.15,F40717,VVIP,UPI,5,Lee,Draw,Sunny
P2679,Carlos,Male,43,Brazil,Team E,Batsman,Basketball,M75303,League,2023-07-10,Team C,Court 4,Delhi,130,8.0,3,0,,9.39,3061.62,676.17,1342.42,3403.2,F49393,Regular,Cash,1,Rahul,Draw,Sunny
P9935,John,Male,35,Germany,Team B,Batsman,Basketball,M10217,World Cup,2022-01-20,Team B,Arena 2,New York,20,7.0,3,0,11.0,7.18,2399.82,857.58,2826.35,7532.43,F66032,VVIP,Credit Card,2,Patel,Zraw,Rainy
P2424,Maria,Other,21,USA,Team E,Goalkeeper,Tennis,M52011,World Cup,2022-01-02,Team E,Stadium 1,London,39,9.0,0,0,116.0,9.97,2813.17,1124.1,7816.05,9685.01,F13754,VIP,Online,1,Brown,Win,Windy
P7912,Mike,Other,40,South Africa,Team B,Bowler,Cricket,M60157,Friendly,2021-10-30,Team B,,Delhi,66,5.0,0,3,100.0,4.02,4479.56,220.5,8815.61,9130.4,F29794,VIP,Online,2,Lee,Lose,Sunny
P1520,Maria,Male,33,Australia,Team B,Bowler,Basketball,M43523,League,2025-03-26,Team A,Court 4,Sydney,126,4.0,4,4,99.0,8.47,2651.63,207.11,4137.09,4690.18,F74929,,UPI,3,Brown,Lose,Windy
P1488,Sara,,37,YSA,Team A,Goalkeeper,Tennis,M51264,Championship,2022-06-01,Team B,Arena 2,Sydney,54,7.0,1,2,50.0,7.06,533.64,1921.76,2371.48,3514.52,F81268,Regular,Credit Card,4,Patel,Lose,Sunny
P2535,John,Female,25,South Africa,Team A,Goalkeeper,basketball,M65085,League,2022-08-03,Team B,Court 4,Sydney,108,7.0,3,2,18.0,3.91,4099.32,677.79,8726.81,6165.1,F66389,VIP,Cash,1,Patel,Draw,Windy
P4582,Amit,Other,25,Brazil,Team E,Batsman,Football,M61923,World Cup,2023-09-12,Team E,Stadium 1,Delhi,97,4.0,2,2,100.0,7.34,3279.73,511.05,2931.79,7087.51,F77556,VVIP,Credit Card,4,Brown,Draw,Cloudy
P4811,Amit,Female,38,USA,Team B,Bowler,Football,M27004,Championship,2024-01-03,Team C,Court 4,Sydney,111,6.0,0,4,110.0,5.59,3786.77,95.48,3176.87,5448.44,F24347,Regular,Credit Card,1,Anderson,Win,Rainy
P9279,Liu,Other,35,South Africa,Team D,Defender,Tennis,M77300,Friendly,2023-11-03,Team E,Stadium 1,Sydney,114,0.0,2,1,30.0,2.7,4554.89,347.86,1833.51,8499.91,F13053,Regular,Credit Card,4,Lee,Draw,Windy
P1434,Carlos,Female,18,USA,Team B,Forward,Cricket,M64419,World Cup,2022-08-11,Team A,Court 4,Sydney,116,3.0,3,1,107.0,2.56,1787.96,861.79,9192.92,676.84,F29274,Regular,Cash,2,Brown,Win,Rainy
P4257,Mike,Other,22,Brazil,Team B,Forward,Football,M82458,World Cup,2022-06-29,Team D,,Delhi,86,1.0,0,2,25.0,7.42,2763.81,684.15,3940.51,6036.41,F20053,Regular,UPI,5,Brown,Win,Rainy
P9928,Liu,Male,38,USA,Team E,Goalkeeper,Basketball,M13563,World Cup,2023-06-08,Team A,,Berlin,80,9.0,3,0,108.0,7.41,3211.18,849.16,2546.57,5299.9,F73074,VIP,UPI,5,Rahul,Lose,Sunny
P7873,Amit,Male,17,South Africa,Team C,Bowler,Tennis,M11669,Championship,2024-03-05,Team B,Arena 2,Berlin,65,2.0,0,0,5.0,5.78,2054.26,1407.82,9582.8,489.7,F12703,VVIP,Credit Card,2,Brown,lose,Cloudy
P4611,David,Other,36,Australia,Team B,Bowler,Cricket,M49747,Championship,2023-03-21,Team B,,Berlin,18,0.0,3,3,28.0,5.51,4307.3,1283.58,4019.68,225.84,F70378,VVIP,Cash,2,Patel,lose,Rainy
P8359,Amit,Other,35,Australia,Team E,Defender,Basketball,M10790,Friendly,2025-06-15,Team A,Arena 2,Berlin,134,1.0,2,1,16.0,2.62,3639.05,986.31,7727.37,6100.68,F64306,VIP,Online,3,Patel,Draw,Cloudy
P5557,Amit,Other,16,Australia,Team E,Bowler,Cricket,M81648,World Cup,2023-09-25,Team C,Arena 2,Delhi,117,0.0,1,0,19.0,4.86,3800.33,1629.64,3073.56,1268.19,F45815,VVIP,Online,1,Brown,,Windy
P1106,John,Male,38,Australia,Team B,Goalkeeper,Cricket,M63541,World Cup,2022-04-03,Team E,Court 4,Berlin,41,7.0,0,2,41.0,8.84,4136.03,1714.65,7541.43,7708.46,F63422,VVIP,Credit Card,4,Rahul,Win,Rainy
P3615,David,Female,26,Germany,Team C,Batsman,Basketball,M46993,Championship,2025-06-18,Team C,Court 4,Berlin,41,3.0,2,3,109.0,8.69,1661.38,1181.63,3089.46,9497.56,F86346,VIP,Online,2,Anderson,Xose,Cloudy
P7924,David,Male,44,Germany,Team D,Forward,Tennis,M55749,League,2021-02-17,Team B,Arena 2,New York,58,,3,1,46.0,6.95,3855.39,235.14,6739.66,1856.42,F28374,VVIP,Credit Card,4,Lee,LOSE,Cloudy
P6574,John,Male,20,USA,Team A,Defender,Tennis,M42538,League,2024-09-06,Team A,Court 4,Delhi,19,0.0,2,3,73.0,9.98,3982.13,812.36,4967.77,8005.88,F69442,Regular,Credit Card,1,Brown,Win,Cloudy
P5552,Priya,,16,Brazil,Team B,Defender,Football,M80732,Championship,,Team E,Stadium 1,Delhi,72,1.0,0,0,69.0,9.04,4290.77,1268.93,8188.46,5955.05,F31683,Regular,Credit Card,4,Smith,Win,Cloudy
P3547,Priya,Other,42,Germany,Team D,Bowler,Cricket,M79465,League,2025-02-19,Team A,Arena 2,London,16,2.0,2,2,111.0,2.31,2698.42,125.7,7572.45,4534.6,F42012,VIP,Online,5,Patel,Draw,Rainy
P4527,Carlos,OTHER,35,South Africa,Team D,Defender,Tennis,M18287,Championship,2024-01-10,Team E,Stadium 1,Berlin,26,2.0,3,2,,4.59,2768.85,39.81,9419.37,6537.95,F39026,VIP,Cash,3,Patel,Draw,Rainy
P6514,Sara,Male,15,USA,Team B,Goalkeeper,Basketball,M92626,Championship,2025-06-20,Team C,Ground 3,Sydney,1,5.0,4,2,1.0,2.19,941.8,1896.67,4389.6,8043.15,F92017,Regular,CREDIT CARD,1,Patel,Draw,Sunny
P2674,Maria,Female,26,South Africa,Team A,Forward,Tennis,M21229,Championship,2022-01-19,Team E,Ground 3,New York,62,9.0,1,0,73.0,5.19,4334.54,1460.13,7789.02,9709.39,F91972,VIP,Online,1,Patel,Win,Rainy
P2519,Maria,Other,40,USA,Team E,Batsman,Basketball,M30203,World Cup,2021-04-29,Team D,Arena 2,New York,61,7.0,1,4,36.0,7.99,2900.7,306.22,9719.59,6638.88,F17733,Regular,Credit Card,3,Smith,Lose,Sunny
P7224,Liu,Female,36,USA,Team B,Defender,Basketball,M61371,League,2022-03-14,Team E,Stadium 1,New York,99,5.0,4,2,,2.4,3174.96,890.25,4026.78,7494.61,F16497,VVIP,Credit Card,1,Rahul,Lose,
P2584,Liu,Other,43,Australia,Team C,Batsman,Tennis,M28350,Friendly,2024-09-23,Team B,Arena 2,Delhi,18,1.0,0,4,104.0,8.92,1046.48,387.11,3610.04,6114.44,F28605,VIP,UPI,3,Lee,Win,Cloudy
P6881,David,Other,26,UK,Team D,Defender,Tennis,M82947,Friendly,2024-12-13,Team C,Stadium 1,New York,16,1.0,2,2,18.0,6.12,3208.2,20.57,7921.46,5693.95,F19925,Regular,Cash,2,Rahul,Win,Sunny
P6635,David,Male,39,India,Team A,Batsman,Football,M81270,World Cup,2021-08-07,Team D,Arena 2,Berlin,68,6.0,2,4,114.0,7.74,688.95,783.39,5009.69,741.34,F23745,,Online,2,Patel,Win,Sunny
P5333,Carlos,Male,31,South Africa,Team C,Defender,Football,M68916,Friendly,2022-01-24,Team E,Arena 2,Berlin,116,0.0,4,1,40.0,1.41,4654.44,1296.77,4587.87,1635.24,F74888,,Online,4,Lee,Lose,Sunny
P1711,Liu,Other,41,Germany,Team D,Bowler,Cricket,M55598,Friendly,2024-11-27,Team A,Ground 3,London,80,0.0,4,1,15.0,1.84,4385.92,1908.26,5910.51,3854.6,F77092,VIP,Online,5,Smith,,Sunny
P8527,Carlos,Yemale,41,Australia,Team D,Defender,Tennis,M41447,League,2021-04-04,Team B,Stadium 1,New York,38,6.0,3,2,114.0,6.59,1374.43,1539.67,9419.78,6530.09,F61369,Regular,UPI,5,Lee,Draw,Cloudy
P9785,David,Male,24,SOUTH AFRICA,Team B,Defender,Football,M61426,Friendly,2023-04-22,Team E,Stadium 1,Sydney,35,8.0,3,3,83.0,8.54,3172.1,460.28,1754.65,850.36,F70953,VVIP,Cash,1,Brown,Lose,Cloudy
P3045,Sara,Female,42,USA,Team A,Goalkeeper,Football,M27606,Championship,2022-08-07,Team B,Arena 2,Delhi,131,4.0,1,3,59.0,8.86,3212.15,672.42,5191.17,5489.33,F40047,VVIP,Credit Card,1,Brown,LOSE,Windy
